,Year,article_hits
0,2018,869
1,2017,738
2,2016,3848
3,2015,831
4,2014,1507
5,2013,1022
6,2012,3040
7,2011,987
8,2010,1943
9,2009,1407
10,2008,3245
11,2007,933
12,2006,1098
13,2005,827
14,2004,1209
15,2003,671
16,2002,1079
17,2001,705
18,2000,1077
19,1999,644
20,1998,851
21,1997,559
22,1996,1371
23,1995,548
24,1994,862
25,1993,603
26,1992,1432
27,1991,593
28,1990,388
29,1989,546
30,1988,1490
31,1987,502
32,1986,395
33,1985,514
34,1984,1531
35,1983,525
36,1982,285
37,1981,383
38,1980,1775
39,1979,604
40,1978,380
41,1977,540
42,1976,947
43,1975,351
44,1974,303
45,1973,476
46,1972,828
47,1971,243
48,1970,228
49,1969,267
50,1968,679
51,1967,275
52,1966,293
53,1965,288
54,1964,641
55,1963,224
56,1962,228
57,1961,223
58,1960,626
59,1959,204
60,1958,156
61,1957,194
62,1956,559
63,1955,188
64,1954,126
65,1953,162
66,1952,437
67,1951,183
68,1950,161
69,1949,137
70,1948,425
71,1947,259
72,1946,119
73,1945,109
74,1944,79
75,1943,51
76,1942,53
77,1941,68
78,1940,109
79,1939,150
80,1938,205
81,1937,168
82,1936,602
83,1935,285
84,1934,109
85,1933,107
86,1932,480
87,1931,181
88,1930,94
89,1929,78
90,1928,339
91,1927,89
92,1926,46
93,1925,75
94,1924,280
95,1923,90
96,1922,42
97,1921,20
98,1920,95
99,1919,12
100,1918,2
